n,d,Q,R,sspl_lb,bdr,srt,mgr,sspl,edge,node,time
4,3,1,0,12,basic,basic,basic,12,3,4,9.1e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000275
8,3,1,4,88,basic,basic,basic,88,21,642,0.003489
10,3,2,0,150,basic,basic,basic,150,15,16,0.000174
12,3,2,2,252,basic,basic,basic,252,28,76,0.000224
5,4,1,0,20,basic,basic,basic,20,6,7,5.6e-05
6,4,1,1,36,basic,basic,basic,36,10,46,0.000161
7,4,1,2,56,basic,basic,basic,56,15,131,0.00036
14,3,2,4,378,basic,basic,basic,378,45,3950,0.029553
9,4,1,4,108,basic,basic,basic,108,28,506,0.001503
8,4,1,3,80,basic,basic,basic,80,21,670,0.004749
4,3,1,0,12,basic,basic,matrix,12,3,4,2.8e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000242
8,3,1,4,88,basic,basic,matrix,88,21,78,0.001026
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000175
12,3,2,2,252,basic,basic,matrix,252,28,70,0.003262
10,4,1,5,140,basic,basic,basic,140,36,38126,0.220604
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.116101
5,4,1,0,20,basic,basic,matrix,20,6,7,4.8e-05
6,4,1,1,36,basic,basic,matrix,36,10,46,0.000284
7,4,1,2,56,basic,basic,matrix,56,15,119,0.000757
8,4,1,3,80,basic,basic,matrix,80,21,390,0.007818
9,4,1,4,108,basic,basic,matrix,108,28,83,0.000847
10,4,1,5,140,basic,basic,matrix,140,36,938,0.009696
11,4,1,6,176,basic,basic,matrix,176,45,1563,0.036401
4,3,1,0,12,basic,basic,minmax,12,3,4,4.9e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000386
8,3,1,4,88,basic,basic,minmax,88,21,78,0.000956
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000273
12,3,2,2,252,basic,basic,minmax,252,28,70,0.001033
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.063536
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.94317
5,4,1,0,20,basic,basic,minmax,20,6,7,8.1e-05
6,4,1,1,36,basic,basic,minmax,36,10,46,0.000641
7,4,1,2,56,basic,basic,minmax,56,15,119,0.00107
8,4,1,3,80,basic,basic,minmax,80,21,390,0.003946
9,4,1,4,108,basic,basic,minmax,108,28,83,0.001037
10,4,1,5,140,basic,basic,minmax,140,36,938,0.013989
11,4,1,6,176,basic,basic,minmax,176,45,1563,0.031357
4,3,1,0,12,cycle,basic,basic,12,3,4,3.6e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,8.5e-05
8,3,1,4,88,cycle,basic,basic,88,19,501,0.001223
10,3,2,0,150,cycle,basic,basic,150,15,16,8.9e-05
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000388
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.012608
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.85875
5,4,1,0,20,cycle,basic,basic,20,6,7,8.3e-05
6,4,1,1,36,cycle,basic,basic,36,8,15,0.000121
7,4,1,2,56,cycle,basic,basic,56,13,59,0.000194
8,4,1,3,80,cycle,basic,basic,80,19,203,0.000582
9,4,1,4,108,cycle,basic,basic,108,26,269,0.000743
10,4,1,5,140,cycle,basic,basic,140,34,15209,0.133913
11,4,1,6,176,basic,basic,basic,176,45,797508,2.81845
4,3,1,0,12,cycle,basic,matrix,12,3,4,2.8e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000141
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.000745
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000174
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.001834
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.046597
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.341925
5,4,1,0,20,cycle,basic,matrix,20,6,7,6.7e-05
6,4,1,1,36,cycle,basic,matrix,36,8,15,0.000171
16,3,2,6,528,cycle,basic,basic,528,64,321233,1.31566
7,4,1,2,56,cycle,basic,matrix,56,13,58,0.000368
8,4,1,3,80,cycle,basic,matrix,80,19,126,0.001452
9,4,1,4,108,cycle,basic,matrix,108,26,60,0.000606
10,4,1,5,140,cycle,basic,matrix,140,34,376,0.008573
4,3,1,0,12,cycle,basic,minmax,12,3,4,0.000102
11,4,1,6,176,cycle,basic,matrix,176,43,797,0.015718
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000337
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.001959
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000307
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.002064
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.102873
5,4,1,0,20,cycle,basic,minmax,20,6,7,8.1e-05
6,4,1,1,36,cycle,basic,minmax,36,8,15,0.000153
7,4,1,2,56,cycle,basic,minmax,56,13,58,0.000521
8,4,1,3,80,cycle,basic,minmax,80,19,126,0.001308
9,4,1,4,108,cycle,basic,minmax,108,26,60,0.000783
10,4,1,5,140,cycle,basic,minmax,140,34,376,0.005232
11,4,1,6,176,cycle,basic,basic,176,43,316868,1.22893
11,4,1,6,176,cycle,basic,minmax,176,43,797,0.01821
4,3,1,0,12,stree,basic,basic,12,3,4,4.9e-05
6,3,1,2,42,stree,basic,basic,42,8,9,0.000168
8,3,1,4,88,stree,basic,basic,88,13,16,0.000145
10,3,2,0,150,stree,basic,basic,150,15,16,8.2e-05
12,3,2,2,252,stree,basic,basic,252,26,27,0.000226
14,3,2,4,378,stree,basic,basic,378,41,58,0.000195
16,3,2,6,528,stree,basic,basic,528,60,184,0.000678
5,4,1,0,20,stree,basic,basic,20,6,7,6.2e-05
6,4,1,1,36,stree,basic,basic,36,9,23,0.000102
7,4,1,2,56,stree,basic,basic,56,13,45,0.000153
8,4,1,3,80,stree,basic,basic,80,18,19,8.4e-05
9,4,1,4,108,stree,basic,basic,108,24,38,0.000141
10,4,1,5,140,stree,basic,basic,140,31,45,0.000162
4,3,1,0,12,stree,basic,matrix,12,3,4,5.3e-05
11,4,1,6,176,stree,basic,basic,176,39,135,0.000634
6,3,1,2,42,stree,basic,matrix,42,8,9,0.000173
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000132
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000177
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000438
14,3,2,4,378,stree,basic,matrix,378,41,51,0.002124
5,4,1,0,20,stree,basic,matrix,20,6,7,6e-05
16,3,2,6,528,stree,basic,matrix,528,60,69,0.003162
6,4,1,1,36,stree,basic,matrix,36,9,23,0.00034
7,4,1,2,56,stree,basic,matrix,56,13,45,0.000314
8,4,1,3,80,stree,basic,matrix,80,18,19,0.000175
9,4,1,4,108,stree,basic,matrix,108,24,32,0.000305
10,4,1,5,140,stree,basic,matrix,140,31,38,0.000472
11,4,1,6,176,stree,basic,matrix,176,39,63,0.001524
4,3,1,0,12,stree,basic,minmax,12,3,4,0.000207
6,3,1,2,42,stree,basic,minmax,42,8,9,0.0001
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000272
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000234
12,3,2,2,252,stree,basic,minmax,252,26,27,0.00045
14,3,2,4,378,stree,basic,minmax,378,41,51,0.000877
16,3,2,6,528,stree,basic,minmax,528,60,69,0.001386
5,4,1,0,20,stree,basic,minmax,20,6,7,8.8e-05
6,4,1,1,36,stree,basic,minmax,36,9,23,0.00021
7,4,1,2,56,stree,basic,minmax,56,13,45,0.000407
8,4,1,3,80,stree,basic,minmax,80,18,19,0.000262
9,4,1,4,108,stree,basic,minmax,108,24,32,0.000848
10,4,1,5,140,stree,basic,minmax,140,31,38,0.000541
11,4,1,6,176,stree,basic,minmax,176,39,63,0.000927
4,3,1,0,12,cycle,sorted,basic,12,3,4,3.6e-05
6,3,1,2,42,cycle,sorted,basic,42,8,20,0.000175
10,3,2,0,150,cycle,sorted,basic,150,15,16,8.6e-05
8,3,1,4,88,cycle,sorted,basic,88,19,116,0.000278
12,3,2,2,252,cycle,sorted,basic,252,26,60,0.000215
14,3,2,4,378,cycle,sorted,basic,378,43,1765,0.01066
5,4,1,0,20,cycle,sorted,basic,20,6,7,5.3e-05
6,4,1,1,36,cycle,sorted,basic,36,8,11,6.5e-05
7,4,1,2,56,cycle,sorted,basic,56,13,65,0.000192
8,4,1,3,80,cycle,sorted,basic,80,19,248,0.000652
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.359509
9,4,1,4,108,cycle,sorted,basic,108,26,1004,0.00656
10,4,1,5,140,cycle,sorted,basic,140,34,6015,0.04768
4,3,1,0,12,cycle,sorted,matrix,12,3,4,2.8e-05
6,3,1,2,42,cycle,sorted,matrix,42,8,19,0.000151
8,3,1,4,88,cycle,sorted,matrix,88,19,52,0.000448
10,3,2,0,150,cycle,sorted,matrix,150,15,16,0.000183
12,3,2,2,252,cycle,sorted,matrix,252,26,60,0.000884
14,3,2,4,378,cycle,sorted,matrix,378,43,1000,0.044928
16,3,2,6,528,cycle,sorted,matrix,528,64,4124,0.230756
5,4,1,0,20,cycle,sorted,matrix,20,6,7,4.9e-05
11,4,1,6,176,cycle,sorted,basic,176,43,63018,0.363441
6,4,1,1,36,cycle,sorted,matrix,36,8,11,8.9e-05
7,4,1,2,56,cycle,sorted,matrix,56,13,62,0.000445
8,4,1,3,80,cycle,sorted,matrix,80,19,169,0.001228
9,4,1,4,108,cycle,sorted,matrix,108,26,282,0.005151
10,4,1,5,140,cycle,sorted,matrix,140,34,555,0.005909
11,4,1,6,176,cycle,sorted,matrix,176,43,1098,0.020256
4,3,1,0,12,cycle,sorted,minmax,12,3,4,4.8e-05
6,3,1,2,42,cycle,sorted,minmax,42,8,19,0.00026
10,3,2,0,150,cycle,sorted,minmax,150,15,16,0.000259
8,3,1,4,88,cycle,sorted,minmax,88,19,52,0.000943
16,3,2,6,528,cycle,sorted,basic,528,64,100368,0.593452
12,3,2,2,252,cycle,sorted,minmax,252,26,60,0.000992
14,3,2,4,378,cycle,sorted,minmax,378,43,1000,0.037677
5,4,1,0,20,cycle,sorted,minmax,20,6,7,8.6e-05
6,4,1,1,36,cycle,sorted,minmax,36,8,11,0.00013
7,4,1,2,56,cycle,sorted,minmax,56,13,62,0.000556
8,4,1,3,80,cycle,sorted,minmax,80,19,169,0.001727
9,4,1,4,108,cycle,sorted,minmax,108,26,282,0.003502
10,4,1,5,140,cycle,sorted,minmax,140,34,555,0.022528
4,3,1,0,12,basic,basic,basic,12,3,4,4.1e-05
16,3,2,6,528,cycle,sorted,minmax,528,64,4124,0.235637
6,3,1,2,42,basic,basic,basic,42,10,44,0.00014
11,4,1,6,176,cycle,sorted,minmax,176,43,1098,0.038475
10,3,2,0,150,basic,basic,basic,150,15,16,9e-05
12,3,2,2,252,basic,basic,basic,252,28,76,0.000464
8,3,1,4,88,basic,basic,basic,88,21,642,0.002255
5,4,1,0,20,basic,basic,basic,20,6,7,5.5e-05
14,3,2,4,378,basic,basic,basic,378,45,3950,0.040547
6,4,1,1,36,basic,basic,basic,36,10,46,0.00027
7,4,1,2,56,basic,basic,basic,56,15,131,0.000382
8,4,1,3,80,basic,basic,basic,80,21,670,0.001762
9,4,1,4,108,basic,basic,basic,108,28,506,0.001397
10,4,1,5,140,basic,basic,basic,140,36,38126,0.252676
4,3,1,0,12,basic,basic,matrix,12,3,4,3.2e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000242
8,3,1,4,88,basic,basic,matrix,88,21,78,0.000636
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000175
12,3,2,2,252,basic,basic,matrix,252,28,70,0.00126
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.066936
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.86315
5,4,1,0,20,basic,basic,matrix,20,6,7,9.4e-05
6,4,1,1,36,basic,basic,matrix,36,10,46,0.000286
7,4,1,2,56,basic,basic,matrix,56,15,119,0.00078
8,4,1,3,80,basic,basic,matrix,80,21,390,0.002924
9,4,1,4,108,basic,basic,matrix,108,28,83,0.000802
10,4,1,5,140,basic,basic,matrix,140,36,938,0.018566
11,4,1,6,176,basic,basic,matrix,176,45,1563,0.024894
4,3,1,0,12,basic,basic,minmax,12,3,4,4.9e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000356
8,3,1,4,88,basic,basic,minmax,88,21,78,0.000867
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000242
12,3,2,2,252,basic,basic,minmax,252,28,70,0.001054
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.045768
11,4,1,6,176,basic,basic,basic,176,45,797508,2.83007
5,4,1,0,20,basic,basic,minmax,20,6,7,7.8e-05
6,4,1,1,36,basic,basic,minmax,36,10,46,0.000415
7,4,1,2,56,basic,basic,minmax,56,15,119,0.001031
8,4,1,3,80,basic,basic,minmax,80,21,390,0.00555
9,4,1,4,108,basic,basic,minmax,108,28,83,0.00107
10,4,1,5,140,basic,basic,minmax,140,36,938,0.021572
11,4,1,6,176,basic,basic,minmax,176,45,1563,0.029952
4,3,1,0,12,cycle,basic,basic,12,3,4,3.9e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,8.3e-05
8,3,1,4,88,cycle,basic,basic,88,19,501,0.001445
10,3,2,0,150,cycle,basic,basic,150,15,16,8.6e-05
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000384
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.012261
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.88604
5,4,1,0,20,cycle,basic,basic,20,6,7,5.6e-05
6,4,1,1,36,cycle,basic,basic,36,8,15,7.6e-05
7,4,1,2,56,cycle,basic,basic,56,13,59,0.000193
8,4,1,3,80,cycle,basic,basic,80,19,203,0.000583
9,4,1,4,108,cycle,basic,basic,108,26,269,0.001113
10,4,1,5,140,cycle,basic,basic,140,34,15209,0.134414
16,3,2,6,528,cycle,basic,basic,528,64,321233,1.25811
4,3,1,0,12,cycle,basic,matrix,12,3,4,2.9e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000141
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.000732
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000241
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.003677
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.09622
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.391714
5,4,1,0,20,cycle,basic,matrix,20,6,7,6.2e-05
6,4,1,1,36,cycle,basic,matrix,36,8,15,0.000116
7,4,1,2,56,cycle,basic,matrix,56,13,58,0.000402
8,4,1,3,80,cycle,basic,matrix,80,19,126,0.00096
9,4,1,4,108,cycle,basic,matrix,108,26,60,0.000586
10,4,1,5,140,cycle,basic,matrix,140,34,376,0.004136
11,4,1,6,176,cycle,basic,matrix,176,43,797,0.012071
4,3,1,0,12,cycle,basic,minmax,12,3,4,6.8e-05
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000193
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.000943
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000291
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.001765
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.068323
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.342171
5,4,1,0,20,cycle,basic,minmax,20,6,7,7.8e-05
6,4,1,1,36,cycle,basic,minmax,36,8,15,0.00021
7,4,1,2,56,cycle,basic,minmax,56,13,58,0.000617
8,4,1,3,80,cycle,basic,minmax,80,19,126,0.001928
9,4,1,4,108,cycle,basic,minmax,108,26,60,0.00079
10,4,1,5,140,cycle,basic,minmax,140,34,376,0.005512
11,4,1,6,176,cycle,basic,minmax,176,43,797,0.01434
4,3,1,0,12,stree,basic,basic,12,3,4,5e-05
6,3,1,2,42,stree,basic,basic,42,8,9,5.4e-05
8,3,1,4,88,stree,basic,basic,88,13,16,7.4e-05
10,3,2,0,150,stree,basic,basic,150,15,16,8.7e-05
12,3,2,2,252,stree,basic,basic,252,26,27,0.000114
14,3,2,4,378,stree,basic,basic,378,41,58,0.000194
16,3,2,6,528,stree,basic,basic,528,60,184,0.001183
5,4,1,0,20,stree,basic,basic,20,6,7,9.9e-05
6,4,1,1,36,stree,basic,basic,36,9,23,0.000177
7,4,1,2,56,stree,basic,basic,56,13,45,0.000251
8,4,1,3,80,stree,basic,basic,80,18,19,0.000299
9,4,1,4,108,stree,basic,basic,108,24,38,0.000142
10,4,1,5,140,stree,basic,basic,140,31,45,0.000161
11,4,1,6,176,stree,basic,basic,176,39,135,0.000567
4,3,1,0,12,stree,basic,matrix,12,3,4,4.4e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,7.4e-05
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000131
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000176
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000454
14,3,2,4,378,stree,basic,matrix,378,41,51,0.00122
16,3,2,6,528,stree,basic,matrix,528,60,69,0.001564
5,4,1,0,20,stree,basic,matrix,20,6,7,6.2e-05
6,4,1,1,36,stree,basic,matrix,36,9,23,0.000171
7,4,1,2,56,stree,basic,matrix,56,13,45,0.000417
8,4,1,3,80,stree,basic,matrix,80,18,19,0.000175
9,4,1,4,108,stree,basic,matrix,108,24,32,0.000305
10,4,1,5,140,stree,basic,matrix,140,31,38,0.000438
11,4,1,6,176,stree,basic,matrix,176,39,63,0.000817
4,3,1,0,12,stree,basic,minmax,12,3,4,6.1e-05
6,3,1,2,42,stree,basic,minmax,42,8,9,0.000103
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000272
10,3,2,0,150,stree,basic,minmax,150,15,16,0.00024
12,3,2,2,252,stree,basic,minmax,252,26,27,0.00045
14,3,2,4,378,stree,basic,minmax,378,41,51,0.000889
16,3,2,6,528,stree,basic,minmax,528,60,69,0.001423
5,4,1,0,20,stree,basic,minmax,20,6,7,8.9e-05
6,4,1,1,36,stree,basic,minmax,36,9,23,0.000211
7,4,1,2,56,stree,basic,minmax,56,13,45,0.000421
8,4,1,3,80,stree,basic,minmax,80,18,19,0.000312
9,4,1,4,108,stree,basic,minmax,108,24,32,0.000481
10,4,1,5,140,stree,basic,minmax,140,31,38,0.000526
11,4,1,6,176,stree,basic,minmax,176,39,63,0.000961
4,3,1,0,12,cycle,sorted,basic,12,3,4,3.4e-05
6,3,1,2,42,cycle,sorted,basic,42,8,20,7.4e-05
8,3,1,4,88,cycle,sorted,basic,88,19,116,0.000276
10,3,2,0,150,cycle,sorted,basic,150,15,16,8.5e-05
12,3,2,2,252,cycle,sorted,basic,252,26,60,0.000216
14,3,2,4,378,cycle,sorted,basic,378,43,1765,0.00538
11,4,1,6,176,cycle,basic,basic,176,43,316868,1.35005
5,4,1,0,20,cycle,sorted,basic,20,6,7,5.4e-05
6,4,1,1,36,cycle,sorted,basic,36,8,11,6.4e-05
7,4,1,2,56,cycle,sorted,basic,56,13,65,0.000195
8,4,1,3,80,cycle,sorted,basic,80,19,248,0.000707
9,4,1,4,108,cycle,sorted,basic,108,26,1004,0.002752
10,4,1,5,140,cycle,sorted,basic,140,34,6015,0.052036
16,3,2,6,528,cycle,sorted,basic,528,64,100368,0.487461
4,3,1,0,12,cycle,sorted,matrix,12,3,4,2.8e-05
6,3,1,2,42,cycle,sorted,matrix,42,8,19,0.000125
8,3,1,4,88,cycle,sorted,matrix,88,19,52,0.000436
10,3,2,0,150,cycle,sorted,matrix,150,15,16,0.000178
12,3,2,2,252,cycle,sorted,matrix,252,26,60,0.000924
11,4,1,6,176,cycle,sorted,basic,176,43,63018,0.304157
14,3,2,4,378,cycle,sorted,matrix,378,43,1000,0.056701
5,4,1,0,20,cycle,sorted,matrix,20,6,7,5e-05
6,4,1,1,36,cycle,sorted,matrix,36,8,11,8.6e-05
7,4,1,2,56,cycle,sorted,matrix,56,13,62,0.000397
16,3,2,6,528,cycle,sorted,matrix,528,64,4124,0.202661
8,4,1,3,80,cycle,sorted,matrix,80,19,169,0.00121
9,4,1,4,108,cycle,sorted,matrix,108,26,282,0.00389
10,4,1,5,140,cycle,sorted,matrix,140,34,555,0.005935
11,4,1,6,176,cycle,sorted,matrix,176,43,1098,0.022097
4,3,1,0,12,cycle,sorted,minmax,12,3,4,4.6e-05
6,3,1,2,42,cycle,sorted,minmax,42,8,19,0.00017
10,3,2,0,150,cycle,sorted,minmax,150,15,16,0.000251
8,3,1,4,88,cycle,sorted,minmax,88,19,52,0.000804
12,3,2,2,252,cycle,sorted,minmax,252,26,60,0.00087
14,3,2,4,378,cycle,sorted,minmax,378,43,1000,0.022261
5,4,1,0,20,cycle,sorted,minmax,20,6,7,8.1e-05
6,4,1,1,36,cycle,sorted,minmax,36,8,11,0.000126
7,4,1,2,56,cycle,sorted,minmax,56,13,62,0.001337
8,4,1,3,80,cycle,sorted,minmax,80,19,169,0.00183
9,4,1,4,108,cycle,sorted,minmax,108,26,282,0.003654
10,4,1,5,140,cycle,sorted,minmax,140,34,555,0.012826
11,4,1,6,176,cycle,sorted,minmax,176,43,1098,0.038008
4,3,1,0,12,basic,basic,basic,12,3,4,7.2e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000173
