n,d,Q,R,sspl_lb,bdr,mgr,srt,sspl,edge,node,time
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000292
10,3,2,0,150,cycle,basic,sorted,150,15,16,9e-05
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.000277
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.006076
16,3,2,6,528,cycle,basic,sorted,528,64,100368,0.481531
5,4,1,0,20,cycle,basic,sorted,20,6,7,5.4e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.000158
7,4,1,2,56,cycle,basic,sorted,56,13,65,0.000196
8,4,1,3,80,cycle,basic,sorted,80,19,248,0.000684
9,4,1,4,108,cycle,basic,sorted,108,26,1004,0.002787
10,4,1,5,140,cycle,basic,sorted,140,34,6015,0.031428
6,5,1,0,30,cycle,basic,sorted,30,10,11,7.7e-05
8,5,1,2,72,cycle,basic,sorted,72,19,360,0.001088
16,3,2,6,528,basic,minmax,basic,528,66,76427,1.80086
4,3,1,0,12,cycle,minmax,sorted,12,3,4,5e-05
6,3,1,2,42,cycle,minmax,sorted,42,8,19,0.000194
8,3,1,4,88,cycle,minmax,sorted,88,19,52,0.000572
10,3,2,0,150,cycle,minmax,sorted,150,15,16,0.000372
12,3,2,2,252,cycle,minmax,sorted,252,26,60,0.00089
14,3,2,4,378,cycle,minmax,sorted,378,43,1000,0.057524
5,4,1,0,20,cycle,minmax,sorted,20,6,7,8.2e-05
6,4,1,1,36,cycle,minmax,sorted,36,8,44,0.000384
7,4,1,2,56,cycle,minmax,sorted,56,13,62,0.000579
8,4,1,3,80,cycle,minmax,sorted,80,19,169,0.001706
9,4,1,4,108,cycle,minmax,sorted,108,26,282,0.004542
10,4,1,5,140,cycle,minmax,sorted,140,34,555,0.010858
6,5,1,0,30,cycle,minmax,sorted,30,10,11,0.000247
16,3,2,6,528,cycle,minmax,sorted,528,64,4124,0.277447
4,3,1,0,12,stree,basic,basic,12,3,4,4.5e-05
6,3,1,2,42,stree,basic,basic,42,8,9,4.8e-05
8,5,1,2,72,cycle,minmax,sorted,72,19,355,0.003421
8,3,1,4,88,stree,basic,basic,88,13,16,7.4e-05
10,3,2,0,150,stree,basic,basic,150,15,16,0.000174
12,3,2,2,252,stree,basic,basic,252,26,27,0.000115
14,3,2,4,378,stree,basic,basic,378,41,58,0.0002
16,3,2,6,528,stree,basic,basic,528,60,184,0.000798
5,4,1,0,20,stree,basic,basic,20,6,7,0.000212
6,4,1,1,36,stree,basic,basic,36,9,23,0.000104
7,4,1,2,56,stree,basic,basic,56,13,45,0.000207
8,4,1,3,80,stree,basic,basic,80,18,19,8.9e-05
9,4,1,4,108,stree,basic,basic,108,24,38,0.000268
6,5,1,0,30,stree,basic,basic,30,10,11,8.7e-05
10,4,1,5,140,stree,basic,basic,140,31,45,0.000169
4,3,1,0,12,stree,minmax,basic,12,3,4,5.9e-05
8,5,1,2,72,stree,basic,basic,72,19,224,0.00097
6,3,1,2,42,stree,minmax,basic,42,8,9,0.000113
8,3,1,4,88,stree,minmax,basic,88,13,15,0.000186
10,3,2,0,150,stree,minmax,basic,150,15,16,0.000263
12,3,2,2,252,stree,minmax,basic,252,26,27,0.000482
14,3,2,4,378,stree,minmax,basic,378,41,51,0.000911
16,3,2,6,528,stree,minmax,basic,528,60,69,0.001906
5,4,1,0,20,stree,minmax,basic,20,6,7,9.1e-05
6,4,1,1,36,stree,minmax,basic,36,9,23,0.000225
8,4,1,3,80,stree,minmax,basic,80,18,19,0.000257
7,4,1,2,56,stree,minmax,basic,56,13,45,0.000467
9,4,1,4,108,stree,minmax,basic,108,24,32,0.000506
10,4,1,5,140,stree,minmax,basic,140,31,38,0.000573
6,5,1,0,30,stree,minmax,basic,30,10,11,0.000144
8,5,1,2,72,stree,minmax,basic,72,19,224,0.004107
4,3,1,0,12,basic,basic,basic,12,3,4,3.7e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000151
10,3,2,0,150,basic,basic,basic,150,15,16,8.9e-05
8,3,1,4,88,basic,basic,basic,88,21,642,0.003021
12,3,2,2,252,basic,basic,basic,252,28,76,0.000235
14,3,2,4,378,basic,basic,basic,378,45,3950,0.027627
5,4,1,0,20,basic,basic,basic,20,6,7,5.2e-05
6,4,1,1,36,basic,basic,basic,36,10,46,0.000164
7,4,1,2,56,basic,basic,basic,56,15,131,0.000364
8,4,1,3,80,basic,basic,basic,80,21,670,0.00202
9,4,1,4,108,basic,basic,basic,108,28,506,0.001523
10,4,1,5,140,basic,basic,basic,140,36,38126,0.229108
6,5,1,0,30,basic,basic,basic,30,10,11,7.8e-05
8,5,1,2,72,basic,basic,basic,72,21,711,0.002121
4,3,1,0,12,basic,minmax,basic,12,3,4,4.7e-05
6,3,1,2,42,basic,minmax,basic,42,10,38,0.00039
8,3,1,4,88,basic,minmax,basic,88,21,78,0.000929
10,3,2,0,150,basic,minmax,basic,150,15,16,0.00027
12,3,2,2,252,basic,minmax,basic,252,28,70,0.001028
14,3,2,4,378,basic,minmax,basic,378,45,1300,0.042769
16,3,2,6,528,basic,basic,basic,528,66,4066148,14.3975
5,4,1,0,20,basic,minmax,basic,20,6,7,8.2e-05
6,4,1,1,36,basic,minmax,basic,36,10,46,0.000397
7,4,1,2,56,basic,minmax,basic,56,15,119,0.00105
8,4,1,3,80,basic,minmax,basic,80,21,390,0.004025
9,4,1,4,108,basic,minmax,basic,108,28,83,0.001068
10,4,1,5,140,basic,minmax,basic,140,36,938,0.01334
6,5,1,0,30,basic,minmax,basic,30,10,11,0.000144
8,5,1,2,72,basic,minmax,basic,72,21,684,0.00652
4,3,1,0,12,cycle,basic,sorted,12,3,4,3.8e-05
6,3,1,2,42,cycle,basic,sorted,42,8,20,7.7e-05
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000292
10,3,2,0,150,cycle,basic,sorted,150,15,16,9.3e-05
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.000241
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.005688
16,3,2,6,528,cycle,basic,sorted,528,64,100368,0.466716
5,4,1,0,20,cycle,basic,sorted,20,6,7,5.4e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.000158
7,4,1,2,56,cycle,basic,sorted,56,13,65,0.000204
8,4,1,3,80,cycle,basic,sorted,80,19,248,0.000672
9,4,1,4,108,cycle,basic,sorted,108,26,1004,0.002658
10,4,1,5,140,cycle,basic,sorted,140,34,6015,0.02274
6,5,1,0,30,cycle,basic,sorted,30,10,11,8.1e-05
8,5,1,2,72,cycle,basic,sorted,72,19,360,0.001177
4,3,1,0,12,cycle,minmax,sorted,12,3,4,5e-05
6,3,1,2,42,cycle,minmax,sorted,42,8,19,0.000181
8,3,1,4,88,cycle,minmax,sorted,88,19,52,0.000573
10,3,2,0,150,cycle,minmax,sorted,150,15,16,0.000253
12,3,2,2,252,cycle,minmax,sorted,252,26,60,0.000897
14,3,2,4,378,cycle,minmax,sorted,378,43,1000,0.033295
16,3,2,6,528,cycle,minmax,sorted,528,64,4124,0.17673
5,4,1,0,20,cycle,minmax,sorted,20,6,7,8.4e-05
6,4,1,1,36,cycle,minmax,sorted,36,8,44,0.00036
7,4,1,2,56,cycle,minmax,sorted,56,13,62,0.00058
8,4,1,3,80,cycle,minmax,sorted,80,19,169,0.001767
9,4,1,4,108,cycle,minmax,sorted,108,26,282,0.003453
10,4,1,5,140,cycle,minmax,sorted,140,34,555,0.007641
6,5,1,0,30,cycle,minmax,sorted,30,10,11,0.000128
8,5,1,2,72,cycle,minmax,sorted,72,19,355,0.003457
4,3,1,0,12,stree,basic,basic,12,3,4,4.4e-05
6,3,1,2,42,stree,basic,basic,42,8,9,5.3e-05
8,3,1,4,88,stree,basic,basic,88,13,16,7.3e-05
10,3,2,0,150,stree,basic,basic,150,15,16,9e-05
12,3,2,2,252,stree,basic,basic,252,26,27,0.000118
14,3,2,4,378,stree,basic,basic,378,41,58,0.000202
16,3,2,6,528,stree,basic,basic,528,60,184,0.000696
5,4,1,0,20,stree,basic,basic,20,6,7,6.3e-05
6,4,1,1,36,stree,basic,basic,36,9,23,0.000103
7,4,1,2,56,stree,basic,basic,56,13,45,0.000229
8,4,1,3,80,stree,basic,basic,80,18,19,0.000129
9,4,1,4,108,stree,basic,basic,108,24,38,0.000152
10,4,1,5,140,stree,basic,basic,140,31,45,0.000171
6,5,1,0,30,stree,basic,basic,30,10,11,9e-05
8,5,1,2,72,stree,basic,basic,72,19,224,0.000874
4,3,1,0,12,stree,minmax,basic,12,3,4,6.1e-05
6,3,1,2,42,stree,minmax,basic,42,8,9,0.000109
8,3,1,4,88,stree,minmax,basic,88,13,15,0.000189
10,3,2,0,150,stree,minmax,basic,150,15,16,0.000277
12,3,2,2,252,stree,minmax,basic,252,26,27,0.00046
14,3,2,4,378,stree,minmax,basic,378,41,51,0.000924
16,3,2,6,528,stree,minmax,basic,528,60,69,0.001423
5,4,1,0,20,stree,minmax,basic,20,6,7,9.2e-05
6,4,1,1,36,stree,minmax,basic,36,9,23,0.000246
7,4,1,2,56,stree,minmax,basic,56,13,45,0.000458
8,4,1,3,80,stree,minmax,basic,80,18,19,0.000257
9,4,1,4,108,stree,minmax,basic,108,24,32,0.000425
10,4,1,5,140,stree,minmax,basic,140,31,38,0.000577
6,5,1,0,30,stree,minmax,basic,30,10,11,0.000139
8,5,1,2,72,stree,minmax,basic,72,19,224,0.002135
4,3,1,0,12,basic,basic,basic,12,3,4,3.4e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000141
8,3,1,4,88,basic,basic,basic,88,21,642,0.002229
10,3,2,0,150,basic,basic,basic,150,15,16,9.2e-05
12,3,2,2,252,basic,basic,basic,252,28,76,0.000236
14,3,2,4,378,basic,basic,basic,378,45,3950,0.027377
16,3,2,6,528,basic,minmax,basic,528,66,76427,1.80787
5,4,1,0,20,basic,basic,basic,20,6,7,0.000131
6,4,1,1,36,basic,basic,basic,36,10,46,0.000187
7,4,1,2,56,basic,basic,basic,56,15,131,0.000369
8,4,1,3,80,basic,basic,basic,80,21,670,0.001755
9,4,1,4,108,basic,basic,basic,108,28,506,0.001405
10,4,1,5,140,basic,basic,basic,140,36,38126,0.227203
6,5,1,0,30,basic,basic,basic,30,10,11,7.9e-05
8,5,1,2,72,basic,basic,basic,72,21,711,0.002058
4,3,1,0,12,basic,minmax,basic,12,3,4,4.9e-05
6,3,1,2,42,basic,minmax,basic,42,10,38,0.000342
8,3,1,4,88,basic,minmax,basic,88,21,78,0.000915
10,3,2,0,150,basic,minmax,basic,150,15,16,0.000249
12,3,2,2,252,basic,minmax,basic,252,28,70,0.001055
14,3,2,4,378,basic,minmax,basic,378,45,1300,0.04518
16,3,2,6,528,basic,basic,basic,528,66,4066148,14.3847
5,4,1,0,20,basic,minmax,basic,20,6,7,8.4e-05
6,4,1,1,36,basic,minmax,basic,36,10,46,0.000424
7,4,1,2,56,basic,minmax,basic,56,15,119,0.001063
8,4,1,3,80,basic,minmax,basic,80,21,390,0.004047
9,4,1,4,108,basic,minmax,basic,108,28,83,0.001086
10,4,1,5,140,basic,minmax,basic,140,36,938,0.028017
6,5,1,0,30,basic,minmax,basic,30,10,11,0.000128
8,5,1,2,72,basic,minmax,basic,72,21,684,0.006566
4,3,1,0,12,cycle,basic,sorted,12,3,4,3.8e-05
6,3,1,2,42,cycle,basic,sorted,42,8,20,7.9e-05
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000283
10,3,2,0,150,cycle,basic,sorted,150,15,16,8.8e-05
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.000224
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.006616
16,3,2,6,528,basic,minmax,basic,528,66,76427,1.73901
5,4,1,0,20,cycle,basic,sorted,20,6,7,5.5e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.000156
7,4,1,2,56,cycle,basic,sorted,56,13,65,0.000356
8,4,1,3,80,cycle,basic,sorted,80,19,248,0.000744
9,4,1,4,108,cycle,basic,sorted,108,26,1004,0.002676
10,4,1,5,140,cycle,basic,sorted,140,34,6015,0.054024
6,5,1,0,30,cycle,basic,sorted,30,10,11,7.9e-05
8,5,1,2,72,cycle,basic,sorted,72,19,360,0.001182
4,3,1,0,12,cycle,minmax,sorted,12,3,4,5e-05
6,3,1,2,42,cycle,minmax,sorted,42,8,19,0.000182
8,3,1,4,88,cycle,minmax,sorted,88,19,52,0.001019
10,3,2,0,150,cycle,minmax,sorted,150,15,16,0.000281
12,3,2,2,252,cycle,minmax,sorted,252,26,60,0.00092
14,3,2,4,378,cycle,minmax,sorted,378,43,1000,0.031037
16,3,2,6,528,cycle,minmax,sorted,528,64,4124,0.190951
5,4,1,0,20,cycle,minmax,sorted,20,6,7,0.000116
6,4,1,1,36,cycle,minmax,sorted,36,8,44,0.00039
7,4,1,2,56,cycle,minmax,sorted,56,13,62,0.000746
8,4,1,3,80,cycle,minmax,sorted,80,19,169,0.001871
9,4,1,4,108,cycle,minmax,sorted,108,26,282,0.006592
10,4,1,5,140,cycle,minmax,sorted,140,34,555,0.011363
6,5,1,0,30,cycle,minmax,sorted,30,10,11,0.000261
8,5,1,2,72,cycle,minmax,sorted,72,19,355,0.006288
4,3,1,0,12,stree,basic,basic,12,3,4,5.3e-05
6,3,1,2,42,stree,basic,basic,42,8,9,7.4e-05
8,3,1,4,88,stree,basic,basic,88,13,16,7.5e-05
10,3,2,0,150,stree,basic,basic,150,15,16,8.9e-05
12,3,2,2,252,stree,basic,basic,252,26,27,0.000138
14,3,2,4,378,stree,basic,basic,378,41,58,0.000202
16,3,2,6,528,stree,basic,basic,528,60,184,0.000723
5,4,1,0,20,stree,basic,basic,20,6,7,6.9e-05
6,4,1,1,36,stree,basic,basic,36,9,23,0.000142
7,4,1,2,56,stree,basic,basic,56,13,45,0.000159
8,4,1,3,80,stree,basic,basic,80,18,19,0.000118
9,4,1,4,108,stree,basic,basic,108,24,38,0.000204
10,4,1,5,140,stree,basic,basic,140,31,45,0.000196
6,5,1,0,30,stree,basic,basic,30,10,11,8.9e-05
8,5,1,2,72,stree,basic,basic,72,19,224,0.00075
4,3,1,0,12,stree,minmax,basic,12,3,4,5.9e-05
6,3,1,2,42,stree,minmax,basic,42,8,9,0.000111
8,3,1,4,88,stree,minmax,basic,88,13,15,0.000194
10,3,2,0,150,stree,minmax,basic,150,15,16,0.000246
12,3,2,2,252,stree,minmax,basic,252,26,27,0.000768
16,3,2,6,528,cycle,basic,sorted,528,64,100368,0.503476
14,3,2,4,378,stree,minmax,basic,378,41,51,0.001284
16,3,2,6,528,stree,minmax,basic,528,60,69,0.002057
5,4,1,0,20,stree,minmax,basic,20,6,7,9.4e-05
6,4,1,1,36,stree,minmax,basic,36,9,23,0.000229
8,4,1,3,80,stree,minmax,basic,80,18,19,0.000254
7,4,1,2,56,stree,minmax,basic,56,13,45,0.000505
9,4,1,4,108,stree,minmax,basic,108,24,32,0.000442
10,4,1,5,140,stree,minmax,basic,140,31,38,0.000555
6,5,1,0,30,stree,minmax,basic,30,10,11,0.000141
8,5,1,2,72,stree,minmax,basic,72,19,224,0.004161
4,3,1,0,12,basic,basic,basic,12,3,4,3.4e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000136
10,3,2,0,150,basic,basic,basic,150,15,16,8.7e-05
8,3,1,4,88,basic,basic,basic,88,21,642,0.001818
12,3,2,2,252,basic,basic,basic,252,28,76,0.000237
14,3,2,4,378,basic,basic,basic,378,45,3950,0.013644
5,4,1,0,20,basic,basic,basic,20,6,7,5.3e-05
6,4,1,1,36,basic,basic,basic,36,10,46,0.000162
7,4,1,2,56,basic,basic,basic,56,15,131,0.000367
8,4,1,3,80,basic,basic,basic,80,21,670,0.001733
9,4,1,4,108,basic,basic,basic,108,28,506,0.001376
10,4,1,5,140,basic,basic,basic,140,36,38126,0.211492
6,5,1,0,30,basic,basic,basic,30,10,11,7.8e-05
8,5,1,2,72,basic,basic,basic,72,21,711,0.002138
4,3,1,0,12,basic,minmax,basic,12,3,4,4.6e-05
6,3,1,2,42,basic,minmax,basic,42,10,38,0.000334
8,3,1,4,88,basic,minmax,basic,88,21,78,0.000941
10,3,2,0,150,basic,minmax,basic,150,15,16,0.000247
12,3,2,2,252,basic,minmax,basic,252,28,70,0.001025
14,3,2,4,378,basic,minmax,basic,378,45,1300,0.040663
16,3,2,6,528,basic,minmax,basic,528,66,76427,1.73105
5,4,1,0,20,basic,minmax,basic,20,6,7,8.3e-05
6,4,1,1,36,basic,minmax,basic,36,10,46,0.000381
7,4,1,2,56,basic,minmax,basic,56,15,119,0.001045
8,4,1,3,80,basic,minmax,basic,80,21,390,0.003958
9,4,1,4,108,basic,minmax,basic,108,28,83,0.001065
10,4,1,5,140,basic,minmax,basic,140,36,938,0.029419
6,5,1,0,30,basic,minmax,basic,30,10,11,0.00013
8,5,1,2,72,basic,minmax,basic,72,21,684,0.006492
4,3,1,0,12,cycle,basic,sorted,12,3,4,3.6e-05
6,3,1,2,42,cycle,basic,sorted,42,8,20,7.7e-05
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000318
10,3,2,0,150,cycle,basic,sorted,150,15,16,0.000118
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.000224
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.005466
16,3,2,6,528,cycle,basic,sorted,528,64,100368,0.467983
5,4,1,0,20,cycle,basic,sorted,20,6,7,7.7e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.00016
7,4,1,2,56,cycle,basic,sorted,56,13,65,0.000202
8,4,1,3,80,cycle,basic,sorted,80,19,248,0.0007
9,4,1,4,108,cycle,basic,sorted,108,26,1004,0.002713
10,4,1,5,140,cycle,basic,sorted,140,34,6015,0.022032
6,5,1,0,30,cycle,basic,sorted,30,10,11,8e-05
8,5,1,2,72,cycle,basic,sorted,72,19,360,0.001108
4,3,1,0,12,cycle,minmax,sorted,12,3,4,4.8e-05
6,3,1,2,42,cycle,minmax,sorted,42,8,19,0.000183
8,3,1,4,88,cycle,minmax,sorted,88,19,52,0.000571
10,3,2,0,150,cycle,minmax,sorted,150,15,16,0.000247
12,3,2,2,252,cycle,minmax,sorted,252,26,60,0.000943
14,3,2,4,378,cycle,minmax,sorted,378,43,1000,0.034153
16,3,2,6,528,cycle,minmax,sorted,528,64,4124,0.172776
5,4,1,0,20,cycle,minmax,sorted,20,6,7,9.8e-05
6,4,1,1,36,cycle,minmax,sorted,36,8,44,0.000372
7,4,1,2,56,cycle,minmax,sorted,56,13,62,0.000605
8,4,1,3,80,cycle,minmax,sorted,80,19,169,0.00174
9,4,1,4,108,cycle,minmax,sorted,108,26,282,0.00343
10,4,1,5,140,cycle,minmax,sorted,140,34,555,0.007389
6,5,1,0,30,cycle,minmax,sorted,30,10,11,0.00014
8,5,1,2,72,cycle,minmax,sorted,72,19,355,0.003353
4,3,1,0,12,stree,basic,basic,12,3,4,4.3e-05
6,3,1,2,42,stree,basic,basic,42,8,9,6.6e-05
